[2023-04-22 15:37:45,986] 23 root - INFO - Entered data ingestion method or component
[2023-04-22 15:38:14,596] 26 root - INFO - Read the dataset
[2023-04-22 15:38:18,399] 29 root - INFO - Train test split initiated
[2023-04-22 15:38:22,042] 33 root - INFO - Ingestion of the data is completed
[2023-04-22 15:38:22,994] 52 root - INFO - Read train and test data completed
[2023-04-22 15:38:22,994] 54 root - INFO - Obtaining preprocessing object
[2023-04-22 15:38:22,994] 37 root - INFO - Read and transformed the relevant data
[2023-04-22 15:38:22,994] 58 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[2023-04-22 15:38:23,089] 71 root - INFO - Saved preprocessing object
